AEA,County,District,School_Name,DistrictCode_SchoolCode,SchoolType,Grades,Year_Academic,Rank
Heartland AEA,Warren County,Southeast Warren Community School District,Southeast Warren Jr-Sr High School,6094-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Warren County,Southeast Warren Community School District,Southeast Warren Primary,6094-0418,Elementary,"KG,  01, 02, 03",2016-2017,Unable to Rate
Northwest AEA,O'Brien County,South O'Brien Community School District,South O'Brien Elem Sch Primghar Center,6099-0424,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Southeast Polk High School,6101-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Polk County,Southeast Polk Community School District,Mitchellville Elementary School,6101-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Exceptional
Heartland AEA,Polk County,Southeast Polk Community School District,Willowbrook Elementary School,6101-0445,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Dallas County,West Central Valley Community School District,Dexter Elementary School,6264-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Grant Wood AEA,Cedar County,Tipton Community School District,Tipton Middle School,6408-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Treynor Community School District,Treynor Middle School,6453-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Prairie Lakes AEA,Humboldt County,Twin Rivers Community School District,Twin Rivers Elementary School,6516-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
AEA 267,Tama County,Union Community School District,Dysart-Geneseo Elementary School,6536-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Heartland AEA,Boone County,United Community School District,United North,6561-0427,Elementary,"KG,  01",2016-2017,Unable to Rate
Heartland AEA,Polk County,Urbandale Community School District,Olmsted Elementary School,6579-0436,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Prairie Lakes AEA,Sac County,East Sac County Community School District,East Sac County Middle School,6741-0218,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
AEA 267,Black Hawk County,Waterloo Community School District,Lou Henry Elementary School,6795-0550,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Dallas County,Waukee Community School District,Timberline School,6822-0227,Middle,"08, 09",2016-2017,High-Performing
Heartland AEA,Dallas County,Waukee Community School District,Walnut Hills Elementary,6822-0436,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Prairie Lakes AEA,Palo Alto County,West Bend-Mallard Community School District,West Bend-Mallard Middle School,6921-0405,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Great Prairie AEA,Des Moines County,West Burlington Independent School District,West Burlington Elem School,6937-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Northwest AEA,Monona County,West Monona Community School District,West Monona High School,6987-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Grant Wood AEA,Iowa County,Williamsburg Community School District,Mary Welsh Elementary,7029-0200,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Commendable
Heartland AEA,Dallas County,Woodward-Granger Community School District,Woodward-Granger Elementary School,7110-0418,Elementary,"02, 03, 04, 05",2016-2017,Commendable
Great Prairie AEA,Monroe County,Albia Community School District,Albia Middle School,0081-0209,Middle,"07, 08",2016-2017,Commendable
Prairie Lakes AEA,Buena Vista County,Alta Community School District,Alta-Aurelia High School School,0171-0172,High,"09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Story County,Ames Community School District,Ames High School,0225-0109,High,"09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Story County,Ames Community School District,Ames Middle School,0225-0218,Middle,"06, 07, 08",2016-2017,Commendable
Heartland AEA,Story County,Ames Community School District,Sawyer Elementary School,0225-0481,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Commendable
Heartland AEA,Story County,Ames Community School District,Northwood Pre-School,0225-0961,Elementary,KG,2016-2017,Unable to Rate
Mississippi Bend AEA,Jackson County,Andrew Community School District,Andrew Middle School,0243-0209,Middle,"06, 07, 08",2016-2017,Priority
Heartland AEA,Polk County,Ankeny Community School District,Northview Middle School,0261-0224,High,"08, 09",2016-2017,High-Performing
Heartland AEA,Polk County,Ankeny Community School District,Southview Middle School,0261-0227,Middle,"08, 09",2016-2017,Exceptional
Heartland AEA,Polk County,Ankeny Community School District,East Elementary School,0261-0405,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Ankeny Community School District,Prairie Trail Elementary,0261-0412,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Prairie Lakes AEA,Kossuth County,North Union Community School District,North Union Elementary,0333-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Northwest AEA,Crawford County,Ar-We-Va Community School District,Westside Junior-Senior High School,0355-0172,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Acceptable
Heartland AEA,Audubon County,Audubon Community School District,Audubon Middle-High School,0414-0109,High,"05, 06, 07, 08, 09, 10, 11, 12",2016-2017,Commendable
Heartland AEA,Jasper County,Baxter Community School District,Baxter High School,0513-0172,High,"06, 07, 08, 09, 10, 11, 12",2016-2017,Commendable
AEA 267,Hardin County,BCLUW Community School District,BCLUW Middle School,0540-0209,Middle,"05, 06, 07, 08",2016-2017,Acceptable
Green Hills AEA,Taylor County,Bedford Community School District,Bedford Elementary School,0549-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Mississippi Bend AEA,Cedar County,Bennett Community School District,Bennett Elementary School,0603-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Grant Wood AEA,Benton County,Benton Community School District,Atkins Elementary School,0609-0405,Elementary,"KG,  01, 02, 03",2016-2017,Unable to Rate
Great Prairie AEA,Wapello County,Eddyville-Blakesburg- Fremont Community School District,Eddyville Elementary,0657-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Great Prairie AEA,Mahaska County,Eddyville-Blakesburg- Fremont Community School District,Fremont Elementary,0657-0427,Elementary,"01, 02, 03, 04, 05, 06",2016-2017,Acceptable
Heartland AEA,Polk County,Bondurant-Farrar Community School District,Bondurant - Farrar Middle School,0720-0209,Middle,"06, 07, 08",2016-2017,High-Performing
Northwest AEA,Sioux County,Boyden-Hull Community School District,Boyden-Hull High School,0747-0109,High,"07, 08, 09, 10, 11, 12",2016-2017,Commendable
AEA 267,Hancock County,West Hancock Community School District,West Hancock Elementary School,0819-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,Commendable
AEA 267,Winnebago County,North Iowa Community School District,North Iowa Elem Buffalo Center,0873-0409,Elementary,"KG,  01, 02, 03, 04",2016-2017,Priority
Great Prairie AEA,Des Moines County,Burlington Community School District,Corse Elementary School,0882-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Great Prairie AEA,Des Moines County,Burlington Community School District,Sunnyside Elementary School,0882-0490,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Cass County,CAM Community School District,CAM North Elementary,0914-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Heartland AEA,Warren County,Carlisle Community School District,Carlisle High School,0981-0109,High,"09, 10, 11, 12",2016-2017,High-Performing
AEA 267,Black Hawk County,Cedar Falls Community School District,Peet Junior High School,1044-0218,Middle,"07, 08, 09",2016-2017,Commendable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Thomas Jefferson High School,1053-0109,High,"09, 10, 11, 12",2016-2017,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Taft Middle School,1053-0232,Middle,"06, 07, 08",2016-2017,Acceptable
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Cleveland Elementary School,1053-0431,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Grant Wood AEA,Linn County,Cedar Rapids Community School District,Madison Elementary School,1053-0544,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Great Prairie AEA,Appanoose County,Centerville Community School District,Garfield Elementary School,1071-0421,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
AEA 267,Floyd County,Charles City Community School District,Washington Elementary School,1116-0455,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
Prairie Lakes AEA,Wright County,Clarion-Goldfield-Dows Community School District,Clarion-Goldfield-Dows Middle School,1206-0209,Middle,"06, 07, 08",2016-2017,Commendable
Green Hills AEA,Clarke County,Clarke Community School District,Clarke Middle School School,1211-0209,Middle,"07, 08",2016-2017,Acceptable
Grant Wood AEA,Johnson County,Clear Creek Amana Community School District,Clear Creek Elementary School,1221-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Grant Wood AEA,Johnson County,Clear Creek Amana Community School District,North Bend Elementary,1221-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Mississippi Bend AEA,Clinton County,Clinton Community School District,Clinton High School,1278-0109,High,"09, 10, 11, 12",2016-2017,Needs Improvement
Mississippi Bend AEA,Clinton County,Clinton Community School District,Bluff Elementary School,1278-0227,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Grant Wood AEA,Linn County,College Community School District,Prairie Heights Elementary School,1337-0427,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Grant Wood AEA,Linn County,College Community School District,Prairie Ridge Elementary,1337-0436,Elementary,"KG,  01, 02, 03, 04",2016-2017,High-Performing
Grant Wood AEA,Linn County,College Community School District,Prairie Edge,1337-0951,High,"02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",2016-2017,Unable to Rate
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,Gerald W Kirn Middle School,1476-0212,Middle,"06, 07, 08",2016-2017,Acceptable
Green Hills AEA,Pottawattamie County,Council Bluffs Community School District,College View Elementary,1476-0427,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Green Hills AEA,Union County,Creston Community School District,Creston Middle School,1503-0218,Middle,"06, 07, 08, 09",2016-2017,Acceptable
Mississippi Bend AEA,Scott County,Davenport Community School District,Mid City High,1611-0127,High,"09, 10, 11, 12",2016-2017,Priority
Mississippi Bend AEA,Scott County,Davenport Community School District,Fillmore Elementary School,1611-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Mississippi Bend AEA,Scott County,Davenport Community School District,Walcott Elementary School,1611-0576,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,High-Performing
Great Prairie AEA,Davis County,Davis County Community School District,Davis County Elementary,1619-0421,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Keystone AEA,Winneshiek County,Decorah Community School District,John Cline Elementary School,1638-0440,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
Northwest AEA,Crawford County,Denison Community School District,Denison Middle School,1701-0209,Middle,"06, 07, 08, 09",2016-2017,Acceptable
Northwest AEA,Crawford County,Denison Community School District,Denison Elementary School,1701-0418,Elementary,"KG,  01, 02, 03, 04",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Callanan Middle School,1737-0209,Middle,"06, 07, 08",2016-2017,Needs Improvement
Heartland AEA,Polk County,Des Moines Independent Community School District,Hubbell Elementary,1737-0598,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Heartland AEA,Polk County,Des Moines Independent Community School District,Jackson Elementary School,1737-0607,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
AEA 267,Grundy County,Dike-New Hartford Community School District,Dike-New Hartford High School,1791-0172,High,"09, 10, 11, 12",2016-2017,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Audubon Elementary School,1863-0418,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Priority
Keystone AEA,Dubuque County,Dubuque Community School District,Marshall Elementary School,1863-0508,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
Keystone AEA,Dubuque County,Dubuque Community School District,Sageville Elementary School,1863-0522,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Keystone AEA,Dubuque County,Dubuque Community School District,Table Mound Elementary School,1863-0526,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Prairie Lakes AEA,Wright County,Eagle Grove Community School District,Robert Blue School,1944-0209,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
Heartland AEA,Madison County,Earlham Community School District,Earlham Elementary School,1953-0409,Elementary,"KG,  01, 02, 03, 04, 05, 06",2016-2017,High-Performing
AEA 267,Buchanan County,East Buchanan Community School District,East Buchanan  Middle School,1963-0209,Middle,"06, 07, 08",2016-2017,Acceptable
AEA 267,Buchanan County,East Buchanan Community School District,East Buchanan Elementary School,1963-0405,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Needs Improvement
AEA 267,Marshall County,East Marshall Community School District,East Marshall Senior High School,1968-0172,High,"09, 10, 11, 12",2016-2017,Acceptable
Prairie Lakes AEA,Palo Alto County,Emmetsburg Community School District,Emmetsburg Middle School,2088-0209,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
Green Hills AEA,Page County,Essex Community School District,Essex Elementary School,2113-0409,Elementary,"KG,  01, 02, 03, 04, 05",2016-2017,Acceptable
Prairie Lakes AEA,Emmet County,Estherville Lincoln Central Community School District,Demoney  Elementary,2124-0427,Elementary,"KG,01,02,03,04",2016-2017,Unable to Rate
Prairie Lakes AEA,Webster County,Fort Dodge Community School District,Fort Dodge Middle School,2313-0227,Middle,"05, 06, 07, 08",2016-2017,Needs Improvement
Northwest AEA,Ida County,Galva-Holstein Community School District,Galva-Holstein Elementary School,2376-0409,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
Northwest AEA,Lyon County,George-Little Rock Community School District,George-Little Rock Middle School,2457-0209,Middle,"06, 07, 08",2016-2017,Acceptable
Northwest AEA,Lyon County,George-Little Rock Community School District,Little Rock Elementary School,2457-0418,Elementary,"04, 05",2016-2017,Priority
Heartland AEA,Story County,Gilbert Community School District,Gilbert Middle School,2466-0209,Middle,"06, 07, 08",2016-2017,Exceptional
Heartland AEA,Story County,Gilbert Community School District,Gilbert Elementary School,2466-0409,Elementary,"KG,  01, 02",2016-2017,Unable to Rate
